Address_ID,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Location_ID,Weather_ID
166,,Olentangy Fwy N,R,Columbus,Franklin,OH,43210,US,US/Eastern,KOSU,166,166
167,,I-65 N,R,Henryville,Clark,IN,47126,US,US/Eastern,KLOU,167,167
168,,Dr Martin Luther King Jr Expy N,R,Louisville,Jefferson,KY,40213,US,US/Eastern,KSDF,168,168
169,,Outerbelt W,R,Columbus,Franklin,OH,43207,US,US/Eastern,KLCK,169,169
170,3002.0, N 500 E,R,Kendallville,Noble,IN,46755,US,US/Eastern,KGWB,170,170
171,2968.0, N 700 E,R,Avilla,Noble,IN,46710,US,US/Eastern,KGWB,171,171
172,,I-75 S,R,Monroe,Monroe,MI,48162,US,US/Eastern,KTTF,172,172
173,513.0, W Carmean St,R,Ohio City,Van Wert,OH,45874,US,US/Eastern,KAOH,173,173
174,10763.0, Wren Landeck Rd,L,Van Wert,Van Wert,OH,45891,US,US/Eastern,KAOH,174,174
175,,Outerbelt W,R,Columbus,Franklin,OH,43207,US,US/Eastern,KLCK,175,175
176,15048.0, State Route 118,L,Ohio City,Van Wert,OH,45874,US,US/Eastern,KAOH,176,176
177,10763.0, Wren Landeck Rd,L,Van Wert,Van Wert,OH,45891,US,US/Eastern,KAOH,177,177
178,,I-75 N,R,Toledo,Lucas,OH,43610,US,US/Eastern,KDUH,178,178
179,,Northwest Fwy W,R,Rocky River,Cuyahoga,OH,44116,US,US/Eastern,KCLE,179,179
180,,I-65 S,R,Clarksville,Clark,IN,47129,US,US/Eastern,KLOU,180,180
181,,I-75 S,R,Cincinnati,Hamilton,OH,45225,US,US/Eastern,KLUK,181,181
182,31081.0, E Chicago Rd,R,Sturgis,Saint Joseph,MI,49091,US,US/Eastern,KIRS,182,182
183,,I-71 S,R,Cleveland,Cuyahoga,OH,44130,US,US/Eastern,KCLE,183,183
184,,I-75 S,R,West Chester,Butler,OH,45069,US,US/Eastern,KHAO,184,184
185,,I-71 N,R,Orient,Franklin,OH,43146,US,US/Eastern,KTZR,185,185
186,4722.0, W State Road 250,R,Madison,Jefferson,IN,47250,US,US/Eastern,KLOU,186,186
187,1410.0, W State Highway 250,R,Deputy,Jefferson,IN,47230,US,US/Eastern,KBAK,187,187
188,10233.0, S State Road 1,R,Keystone,Wells,IN,46759,US,US/Eastern,KMZZ,188,188
